"DateTime";"Moms";"Skatt";"Produktkostnad";"Bruttomarginal"
"2016-01-15";2.54;6.04;2.66;1.44
"2016-02-15";2.46;6.04;2.39;1.41
"2016-03-15";2.55;6.04;2.58;1.57
"2016-04-15";2.63;6.04;2.99;1.47
"2016-05-15";2.7;6.04;3.24;1.51
"2016-06-15";2.71;6.04;3.35;1.45
"2016-07-15";2.63;6.04;3.03;1.45
"2016-08-15";2.63;6.02;3.11;1.38
"2016-09-15";2.65;6.02;3.24;1.33
"2016-10-15";2.72;6.02;3.53;1.35
"2016-11-15";2.67;6.02;3.32;1.36
"2016-12-15";2.8;6.02;3.77;1.4
"2017-01-15";2.85;6.2;3.84;1.38
"2017-02-15";2.87;6.2;3.93;1.35
"2017-03-15";2.8;6.2;3.66;1.36
"2017-04-15";2.87;6.2;3.92;1.36
"2017-05-15";2.82;6.2;3.7;1.37
"2017-06-15";2.76;6.2;3.52;1.34
"2017-07-15";2.76;6.2;3.4;1.44
"2017-08-15";2.78;6.2;3.53;1.39
"2017-09-15";2.82;6.2;3.7;1.37
"2017-10-15";2.78;6.2;3.59;1.35
"2017-11-15";2.9;6.2;4.03;1.39
"2017-12-15";2.88;6.2;3.92;1.42
"2018-01-15";2.97;6.43;3.99;1.47
"2018-02-15";2.91;6.43;3.85;1.35
"2018-03-15";2.94;6.43;3.81;1.53
"2018-04-15";3.05;6.43;4.43;1.33
"2018-05-15";3.19;6.43;4.86;1.46
"2018-06-15";3.16;6.43;4.75;1.45
"2018-07-15";3.19;6.44;4.8;1.52
"2018-08-15";3.24;6.44;5.05;1.48
"2018-09-15";3.22;6.44;5;1.43
"2018-10-15";3.18;6.44;4.75;1.52
"2018-11-15";2.99;6.44;4.03;1.49
"2018-12-15";2.87;6.44;3.53;1.5
"2019-01-15";2.93;6.7;3.56;1.46
"2019-02-15";3.01;6.7;3.93;1.42
"2019-03-15";3.12;6.7;4.32;1.44
"2019-04-15";3.3;6.7;5.02;1.46
"2019-05-15";3.38;6.7;5.16;1.65
"2019-06-15";3.2;6.7;4.44;1.64
"2019-07-15";3.2;6.58;4.67;1.53
"2019-08-15";3.15;6.58;4.48;1.55
"2019-09-15";3.14;6.58;5.96;0
"2019-10-15";3.15;6.58;6.01;0
"2019-11-15";3.15;6.58;6.01;0
"2019-12-15";3.14;6.58;5.98;0
"2020-01-15";3.2;6.69;6.1;0
"2020-02-15";3.11;6.69;5.74;0