date,clicks_out
2020-02-20,22448.0
2020-02-21,18641.0
2020-02-22,20075.0
2020-02-23,24282.0
2020-02-24,21287.0
2020-02-25,21272.0
2020-02-26,17678.0
2020-02-27,15065.0
2020-02-28,11653.0
2020-02-29,12181.0
2020-03-01,16403.0
2020-03-02,15402.0
2020-03-03,14807.0
2020-03-04,14040.0
2020-03-05,13320.0
2020-03-06,11590.0
2020-03-07,12121.0
2020-03-08,14627.0
2020-03-09,14280.0
2020-03-10,13813.0
2020-03-11,11073.0
2020-03-12,12101.0
2020-03-13,13516.0
2020-03-14,13942.0
2020-03-15,12745.0
2020-03-16,10741.0
2020-03-17,9403.0
2020-03-18,8089.0
2020-03-19,6998.0
2020-03-20,6061.0
2020-03-21,5434.0
2020-03-22,5954.0
2020-03-23,5931.0
2020-03-24,5768.0
2020-03-25,4736.0
2020-03-26,3974.0
2020-03-27,3139.0
2020-03-28,2945.0
2020-03-29,2891.0
2020-03-30,3011.0
2020-03-31,2743.0
2020-04-01,2792.0
2020-04-02,2659.0
2020-04-03,2542.0
2020-04-04,2582.0
2020-04-05,2629.0
2020-04-06,2793.0
2020-04-07,2717.0
2020-04-08,2318.0
2020-04-09,2147.0
2020-04-10,1989.0
2020-04-11,2074.0
2020-04-12,2234.0
2020-04-13,2352.0
2020-04-14,2095.0
2020-04-15,1900.0
2020-04-16,1862.0
2020-04-17,1762.0
2020-04-18,1922.0
2020-04-19,2194.0
2020-04-20,2178.0
2020-04-21,2175.0
2020-04-22,2100.0
2020-04-23,1837.0
2020-04-24,1788.0
2020-04-25,1635.0
2020-04-26,1840.0
2020-04-27,1930.0
2020-04-28,2396.0
2020-04-29,1946.0
2020-04-30,1593.0
2020-05-01,1865.0
2020-05-02,1765.0
2020-05-03,1956.0
2020-05-04,2314.0
2020-05-05,2109.0
2020-05-06,1710.0
2020-05-07,1849.0
2020-05-08,1821.0
2020-05-09,1815.0
2020-05-10,2126.0
2020-05-11,2175.0
2020-05-12,2322.0
2020-05-13,2542.0
2020-05-14,2117.0
2020-05-15,1887.0
2020-05-16,2379.0
2020-05-17,2453.0
2020-05-18,2375.0
2020-05-19,2458.0
2020-05-20,2162.0
2020-05-21,2150.0
2020-05-22,2015.0
2020-05-23,2565.0
2020-05-24,2717.0
2020-05-25,3008.0
2020-05-26,3007.0
2020-05-27,3510.0
2020-05-28,3211.0
2020-05-29,2741.0
2020-05-30,2558.0
2020-05-31,3336.0
2020-06-01,3895.0
2020-06-02,3790.0
2020-06-03,4301.0
2020-06-04,4366.0
2020-06-05,4603.0
2020-06-06,5151.0
2020-06-07,4913.0
2020-06-08,5045.0
2020-06-09,4937.0
2020-06-10,5196.0
2020-06-11,5177.0
2020-06-12,4477.0
2020-06-13,4808.0
2020-06-14,5877.0
2020-06-15,6756.0
2020-06-16,6483.0
2020-06-17,8165.0
2020-06-18,6982.0
2020-06-19,5228.0
2020-06-20,6820.0
2020-06-21,7481.0
2020-06-22,8013.0
2020-06-23,7478.0
2020-06-24,7304.0
2020-06-25,7023.0
2020-06-26,6092.0
2020-06-27,5882.0
2020-06-28,7528.0
2020-06-29,8310.0
2020-06-30,9267.0
2020-07-01,10042.0
2020-07-02,9442.0
2020-07-03,7910.0
2020-07-04,8467.0
2020-07-05,9221.0
2020-07-06,10018.0
2020-07-07,9355.0
2020-07-08,9514.0
2020-07-09,9163.0
2020-07-10,8087.0
2020-07-11,7848.0
2020-07-12,8517.0
2020-07-13,9774.0
2020-07-14,10211.0
2020-07-15,10677.0
2020-07-16,9805.0
2020-07-17,8310.0
2020-07-18,8448.0
2020-07-19,9308.0
2020-07-20,10831.0
2020-07-21,10963.0
2020-07-22,10674.0
2020-07-23,10797.0
2020-07-24,10408.0
2020-07-25,8965.0
2020-07-26,10120.0
2020-07-27,10723.0
2020-07-28,10591.0
2020-07-29,10488.0
2020-07-30,9643.0
2020-07-31,8061.0
2020-08-01,7463.0
2020-08-02,9090.0
2020-08-03,10467.0
2020-08-04,9188.0
2020-08-05,9313.0
2020-08-06,8812.0
2020-08-07,7461.0
2020-08-08,6658.0
2020-08-09,7890.0
2020-08-10,9118.0
2020-08-11,8744.0
2020-08-12,8910.0
2020-08-13,7961.0
2020-08-14,6726.0
2020-08-15,5927.0
2020-08-16,6916.0
2020-08-17,8308.0
2020-08-18,8093.0
2020-08-19,7571.0
2020-08-20,7823.0
2020-08-21,7024.0
2020-08-22,6608.0
2020-08-23,7971.0
2020-08-24,8220.0
2020-08-25,8670.0
2020-08-26,8281.0
2020-08-27,8077.0
2020-08-28,7082.0
2020-08-29,7057.0
2020-08-30,8222.0
2020-08-31,8868.0
2020-09-01,8945.0
2020-09-02,9294.0
2020-09-03,8861.0
2020-09-04,7808.0
2020-09-05,7665.0
2020-09-06,8901.0
2020-09-07,9171.0
2020-09-08,8873.0
2020-09-09,9221.0
2020-09-10,8953.0
2020-09-11,7941.0
2020-09-12,7977.0
2020-09-13,8667.0
2020-09-14,9681.0
2020-09-15,8632.0
2020-09-16,8942.0
2020-09-17,8543.0
2020-09-18,7428.0
2020-09-19,7294.0
2020-09-20,8911.0
2020-09-21,9080.0
2020-09-22,8650.0
2020-09-23,8123.0
2020-09-24,7967.0
2020-09-25,7522.0
2020-09-26,7440.0
2020-09-27,8157.0
2020-09-28,9115.0
2020-09-29,8761.0
2020-09-30,8372.0
2020-10-01,8174.0
2020-10-02,7078.0
2020-10-03,7600.0
2020-10-04,8830.0
2020-10-05,9230.0
2020-10-06,9153.0
2020-10-07,8495.0
2020-10-08,8680.0
2020-10-09,6990.0
2020-10-10,7476.0
2020-10-11,8366.0
2020-10-12,8697.0
2020-10-13,8012.0
2020-10-14,8239.0
2020-10-15,8024.0
2020-10-16,6712.0
2020-10-17,6461.0
2020-10-18,8114.0
2020-10-19,8485.0
2020-10-20,7731.0
2020-10-21,7780.0
2020-10-22,7335.0
2020-10-23,6939.0
2020-10-24,6248.0
2020-10-25,7493.0
2020-10-26,7955.0
2020-10-27,7056.0
2020-10-28,6558.0
2020-10-29,6073.0
2020-10-30,5220.0
2020-10-31,5145.0
2020-11-01,5942.0
2020-11-02,6205.0
2020-11-03,5849.0
2020-11-04,5394.0
2020-11-05,5413.0
2020-11-06,4031.0
2020-11-07,4308.0
2020-11-08,4566.0
2020-11-09,5438.0
2020-11-10,5987.0
2020-11-11,5110.0
2020-11-12,4410.0
2020-11-13,3953.0
2020-11-14,3988.0
2020-11-15,4384.0
2020-11-16,4366.0
2020-11-17,4135.0
2020-11-18,4046.0
2020-11-19,3878.0
2020-11-20,3390.0
2020-11-21,3689.0
2020-11-22,3881.0
2020-11-23,4063.0
2020-11-24,4322.0
2020-11-25,4448.0
2020-11-26,4330.0
2020-11-27,3691.0
2020-11-28,3692.0
2020-11-29,4616.0
2020-11-30,4506.0
2020-12-01,4478.0
2020-12-02,4598.0
2020-12-03,4820.0
2020-12-04,4212.0
2020-12-05,4135.0
2020-12-06,5019.0
2020-12-07,5134.0
2020-12-08,5041.0
2020-12-09,5042.0
2020-12-10,5046.0
2020-12-11,4389.0
2020-12-12,4494.0
2020-12-13,5108.0
2020-12-14,5270.0
2020-12-15,4884.0
2020-12-16,4793.0
2020-12-17,4566.0
2020-12-18,4455.0
2020-12-19,4285.0
2020-12-20,5003.0
2020-12-21,4891.0
2020-12-22,4317.0
2020-12-23,3830.0
2020-12-24,3340.0
2020-12-25,3962.0
2020-12-26,4345.0
2020-12-27,5146.0
2020-12-28,4725.0
2020-12-29,4659.0
2020-12-30,4626.0
2020-12-31,3130.0
2021-01-01,5449.0
2021-01-02,6241.0
2021-01-03,6831.0
2021-01-04,6834.0
2021-01-05,6520.0
2021-01-06,6296.0
2021-01-07,6340.0
2021-01-08,5518.0
2021-01-09,5814.0
2021-01-10,6835.0
2021-01-11,5931.0
2021-01-12,5346.0
2021-01-13,5568.0
2021-01-14,5648.0
2021-01-15,4910.0
2021-01-16,5202.0
2021-01-17,6069.0
2021-01-18,5552.0
2021-01-19,5551.0
2021-01-20,5378.0
2021-01-21,5193.0
2021-01-22,4489.0
2021-01-23,4804.0
2021-01-24,6103.0
2021-01-25,5655.0
2021-01-26,4746.0
2021-01-27,4477.0
2021-01-28,3958.0
2021-01-29,3639.0
2021-01-30,4182.0
2021-01-31,5025.0
2021-02-01,4727.0
2021-02-02,4574.0
2021-02-03,4588.0
2021-02-04,4360.0
2021-02-05,3911.0
2021-02-06,4253.0
2021-02-07,6068.0
2021-02-08,4996.0
2021-02-09,5048.0
2021-02-10,4923.0
2021-02-11,4784.0
2021-02-12,3893.0
2021-02-13,4188.0
2021-02-14,5011.0
2021-02-15,5272.0
2021-02-16,4776.0
2021-02-17,4822.0
2021-02-18,4276.0
2021-02-19,4231.0
2021-02-20,5051.0
2021-02-21,5708.0
2021-02-22,5464.0
2021-02-23,5374.0
2021-02-24,5052.0
2021-02-25,4967.0
2021-02-26,4330.0
2021-02-27,4699.0
2021-02-28,5248.0
2021-03-01,5664.0
2021-03-02,5037.0
2021-03-03,5366.0
2021-03-04,5071.0
2021-03-05,5193.0
2021-03-06,5419.0
2021-03-07,5575.0
2021-03-08,5298.0
2021-03-09,5369.0
2021-03-10,5466.0
2021-03-11,5100.0
2021-03-12,4722.0
2021-03-13,4764.0
2021-03-14,5636.0
2021-03-15,5678.0
2021-03-16,5205.0
2021-03-17,5232.0
2021-03-18,5114.0
2021-03-19,4608.0
2021-03-20,4783.0
2021-03-21,5477.0
2021-03-22,5628.0
2021-03-23,5282.0
2021-03-24,5254.0
2021-03-25,5244.0
2021-03-26,4634.0
2021-03-27,4951.0
2021-03-28,5500.0
2021-03-29,5646.0
2021-03-30,5305.0
2021-03-31,5199.0
2021-04-01,4646.0
2021-04-02,4887.0
2021-04-03,4812.0
2021-04-04,5440.0
2021-04-05,6462.0
2021-04-06,5645.0
2021-04-07,5958.0
2021-04-08,5817.0
2021-04-09,5169.0
2021-04-10,5446.0
2021-04-11,6395.0
2021-04-12,6248.0
2021-04-13,5765.0
2021-04-14,5561.0
2021-04-15,5425.0
2021-04-16,5050.0
2021-04-17,5923.0
2021-04-18,6091.0
2021-04-19,6081.0
2021-04-20,6049.0
2021-04-21,6573.0
2021-04-22,6266.0
2021-04-23,5855.0
2021-04-24,6171.0
2021-04-25,7145.0
2021-04-26,6881.0
2021-04-27,6582.0
2021-04-28,6558.0
2021-04-29,6096.0
2021-04-30,5489.0
2021-05-01,6019.0
2021-05-02,7607.0
2021-05-03,7147.0
2021-05-04,8219.0
2021-05-05,8002.0
2021-05-06,7801.0
2021-05-07,6820.0
2021-05-08,7462.0
2021-05-09,9327.0
2021-05-10,8890.0
2021-05-11,8034.0
2021-05-12,6732.0
2021-05-13,6963.0
2021-05-14,7416.0
2021-05-15,8974.0
2021-05-16,10343.0
2021-05-17,10017.0
2021-05-18,9513.0
2021-05-19,10252.0
2021-05-20,10308.0
2021-05-21,9388.0
2021-05-22,10458.0
2021-05-23,13302.0
2021-05-24,12903.0
2021-05-25,13671.0
2021-05-26,13218.0
2021-05-27,12232.0
2021-05-28,10056.0
2021-05-29,10511.0
2021-05-30,12172.0
2021-05-31,13720.0
2021-06-01,13904.0
2021-06-02,13535.0
2021-06-03,13308.0
2021-06-04,11449.0
2021-06-05,11536.0
2021-06-06,14027.0
2021-06-07,16266.0
2021-06-08,16031.0
2021-06-09,14573.0
2021-06-10,13516.0
2021-06-11,11680.0
2021-06-12,13024.0
2021-06-13,15252.0
2021-06-14,15892.0
2021-06-15,17637.0
2021-06-16,15776.0
2021-06-17,14707.0
2021-06-18,12589.0
2021-06-19,13637.0
2021-06-20,16129.0
2021-06-21,16339.0
2021-06-22,16135.0
2021-06-23,14974.0
2021-06-24,14381.0
2021-06-25,12599.0
2021-06-26,14896.0
2021-06-27,16705.0
2021-06-28,17475.0
2021-06-29,16200.0
2021-06-30,18535.0
2021-07-01,18880.0
2021-07-02,15822.0
2021-07-03,14743.0
2021-07-04,18486.0
2021-07-05,20909.0
2021-07-06,19890.0
2021-07-07,19957.0
2021-07-08,18814.0
2021-07-09,16962.0
2021-07-10,16967.0
2021-07-11,17161.0
2021-07-12,18292.0
2021-07-13,17354.0
2021-07-14,15938.0
2021-07-15,15531.0
2021-07-16,14095.0
2021-07-17,13358.0
2021-07-18,16322.0
2021-07-19,16099.0
2021-07-20,15549.0
2021-07-21,15088.0
2021-07-22,15459.0
2021-07-23,14105.0
2021-07-24,12832.0
2021-07-25,15502.0
2021-07-26,17556.0
2021-07-27,17276.0
2021-07-28,17296.0
2021-07-29,16195.0
2021-07-30,13630.0
2021-07-31,12672.0
2021-08-01,14807.0
2021-08-02,16013.0
2021-08-03,14839.0
2021-08-04,14720.0
2021-08-05,14057.0
2021-08-06,12182.0
2021-08-07,12113.0
2021-08-08,15071.0
2021-08-09,15316.0
2021-08-10,14209.0
2021-08-11,14094.0
2021-08-12,13327.0
2021-08-13,11725.0
2021-08-14,11031.0
2021-08-15,13200.0
2021-08-16,14011.0
2021-08-17,13900.0
2021-08-18,12911.0
2021-08-19,12550.0
2021-08-20,11005.0
2021-08-21,10332.0
2021-08-22,13136.0
2021-08-23,14347.0
2021-08-24,13912.0
2021-08-25,14124.0
2021-08-26,13173.0
2021-08-27,11924.0
2021-08-28,11364.0
2021-08-29,13476.0
2021-08-30,13565.0
2021-08-31,13612.0
2021-09-01,14000.0
2021-09-02,13759.0
2021-09-03,11058.0
2021-09-04,11153.0
2021-09-05,13730.0
2021-09-06,14158.0
2021-09-07,14259.0
2021-09-08,13950.0
2021-09-09,15404.0
2021-09-10,12699.0
2021-09-11,13031.0
2021-09-12,16856.0
2021-09-13,15847.0
2021-09-14,15303.0
2021-09-15,14838.0
2021-09-16,15039.0
2021-09-17,13296.0
2021-09-18,13984.0
2021-09-19,17301.0
2021-09-20,18184.0
2021-09-21,17715.0
2021-09-22,17000.0
2021-09-23,17625.0
2021-09-24,15954.0
2021-09-25,15487.0
2021-09-26,19140.0
2021-09-27,20222.0
2021-09-28,20027.0
2021-09-29,18232.0
2021-09-30,16522.0
2021-10-01,14941.0
2021-10-02,16914.0
2021-10-03,20070.0
2021-10-04,17892.0
2021-10-05,17686.0
2021-10-06,16713.0
2021-10-07,16262.0
2021-10-08,14380.0
2021-10-09,14965.0
2021-10-10,19732.0
2021-10-11,18627.0
2021-10-12,16195.0
2021-10-13,17094.0
2021-10-14,16210.0
2021-10-15,14039.0
2021-10-16,14817.0
2021-10-17,19075.0
2021-10-18,18147.0
2021-10-19,18242.0
2021-10-20,17471.0
2021-10-21,16323.0
2021-10-22,14143.0
2021-10-23,14724.0
2021-10-24,19262.0
2021-10-25,20598.0
2021-10-26,19172.0
2021-10-27,18423.0
2021-10-28,16809.0
2021-10-29,14077.0
2021-10-30,14955.0
2021-10-31,19572.0
2021-11-01,19070.0
2021-11-02,17852.0
2021-11-03,18432.0
2021-11-04,17656.0
2021-11-05,15625.0
2021-11-06,15618.0
2021-11-07,20761.0
2021-11-08,19610.0
2021-11-09,19172.0
2021-11-10,17483.0
2021-11-11,15818.0
2021-11-12,13553.0
2021-11-13,14837.0
2021-11-14,17252.0
2021-11-15,17135.0
2021-11-16,16586.0
2021-11-17,15313.0
2021-11-18,14103.0
2021-11-19,12063.0
2021-11-20,12965.0
2021-11-21,16010.0
2021-11-22,14332.0
2021-11-23,14319.0
2021-11-24,13585.0
2021-11-25,14444.0
2021-11-26,12459.0
2021-11-27,11595.0
2021-11-28,12761.0
2021-11-29,12654.0
2021-11-30,11298.0
2021-12-01,10788.0
