Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet
2021-12-01 06:00:01;2021-12-02 06:00:00;2021-12-01;2.2;Y
2021-12-02 06:00:01;2021-12-03 06:00:00;2021-12-02;0.6;Y
2021-12-03 06:00:01;2021-12-04 06:00:00;2021-12-03;0.0;Y
2021-12-04 06:00:01;2021-12-05 06:00:00;2021-12-04;0.0;Y
2021-12-05 06:00:01;2021-12-06 06:00:00;2021-12-05;0.0;Y
2021-12-06 06:00:01;2021-12-07 06:00:00;2021-12-06;0.0;Y
2021-12-07 06:00:01;2021-12-08 06:00:00;2021-12-07;0.0;Y
2021-12-08 06:00:01;2021-12-09 06:00:00;2021-12-08;0.0;Y
2021-12-09 06:00:01;2021-12-10 06:00:00;2021-12-09;1.3;Y
2021-12-10 06:00:01;2021-12-11 06:00:00;2021-12-10;7.1;Y
2021-12-11 06:00:01;2021-12-12 06:00:00;2021-12-11;0.5;Y
2021-12-12 06:00:01;2021-12-13 06:00:00;2021-12-12;0.0;Y
2021-12-13 06:00:01;2021-12-14 06:00:00;2021-12-13;1.9;Y
2021-12-14 06:00:01;2021-12-15 06:00:00;2021-12-14;0.1;Y
2021-12-15 06:00:01;2021-12-16 06:00:00;2021-12-15;0.1;Y
2021-12-16 06:00:01;2021-12-17 06:00:00;2021-12-16;0.0;Y
2021-12-17 06:00:01;2021-12-18 06:00:00;2021-12-17;0.0;Y
2021-12-18 06:00:01;2021-12-19 06:00:00;2021-12-18;0.0;Y
2021-12-19 06:00:01;2021-12-20 06:00:00;2021-12-19;0.5;Y
2021-12-20 06:00:01;2021-12-21 06:00:00;2021-12-20;0.0;Y
2021-12-21 06:00:01;2021-12-22 06:00:00;2021-12-21;0.0;Y
2021-12-22 06:00:01;2021-12-23 06:00:00;2021-12-22;0.0;Y
2021-12-23 06:00:01;2021-12-24 06:00:00;2021-12-23;2.1;Y
2021-12-24 06:00:01;2021-12-25 06:00:00;2021-12-24;0.0;Y
2021-12-25 06:00:01;2021-12-26 06:00:00;2021-12-25;0.0;Y
2021-12-26 06:00:01;2021-12-27 06:00:00;2021-12-26;0.0;Y
2021-12-27 06:00:01;2021-12-28 06:00:00;2021-12-27;0.0;Y
2021-12-28 06:00:01;2021-12-29 06:00:00;2021-12-28;2.0;Y
2021-12-29 06:00:01;2021-12-30 06:00:00;2021-12-29;2.7;Y
2021-12-30 06:00:01;2021-12-31 06:00:00;2021-12-30;0.7;Y
2021-12-31 06:00:01;2022-01-01 06:00:00;2021-12-31;0.4;Y
2022-01-01 06:00:01;2022-01-02 06:00:00;2022-01-01;5.7;Y
2022-01-02 06:00:01;2022-01-03 06:00:00;2022-01-02;0.8;Y
2022-01-03 06:00:01;2022-01-04 06:00:00;2022-01-03;4.2;Y
2022-01-04 06:00:01;2022-01-05 06:00:00;2022-01-04;0.0;Y
2022-01-05 06:00:01;2022-01-06 06:00:00;2022-01-05;0.5;Y
2022-01-06 06:00:01;2022-01-07 06:00:00;2022-01-06;0.0;Y
2022-01-07 06:00:01;2022-01-08 06:00:00;2022-01-07;2.8;Y
2022-01-08 06:00:01;2022-01-09 06:00:00;2022-01-08;0.0;Y
2022-01-09 06:00:01;2022-01-10 06:00:00;2022-01-09;0.0;Y
2022-01-10 06:00:01;2022-01-11 06:00:00;2022-01-10;0.0;Y
2022-01-11 06:00:01;2022-01-12 06:00:00;2022-01-11;0.5;Y
2022-01-12 06:00:01;2022-01-13 06:00:00;2022-01-12;0.0;Y
2022-01-13 06:00:01;2022-01-14 06:00:00;2022-01-13;0.0;Y
2022-01-14 06:00:01;2022-01-15 06:00:00;2022-01-14;0.0;Y
2022-01-15 06:00:01;2022-01-16 06:00:00;2022-01-15;0.0;Y
2022-01-16 06:00:01;2022-01-17 06:00:00;2022-01-16;1.1;Y
2022-01-17 06:00:01;2022-01-18 06:00:00;2022-01-17;0.0;Y
2022-01-18 06:00:01;2022-01-19 06:00:00;2022-01-18;0.0;Y
2022-01-19 06:00:01;2022-01-20 06:00:00;2022-01-19;6.4;Y
2022-01-20 06:00:01;2022-01-21 06:00:00;2022-01-20;0.0;Y
2022-01-21 06:00:01;2022-01-22 06:00:00;2022-01-21;0.0;Y
2022-01-22 06:00:01;2022-01-23 06:00:00;2022-01-22;0.0;Y
2022-01-23 06:00:01;2022-01-24 06:00:00;2022-01-23;0.0;Y
2022-01-24 06:00:01;2022-01-25 06:00:00;2022-01-24;0.0;Y
2022-01-25 06:00:01;2022-01-26 06:00:00;2022-01-25;0.0;Y
2022-01-26 06:00:01;2022-01-27 06:00:00;2022-01-26;0.0;Y
2022-01-27 06:00:01;2022-01-28 06:00:00;2022-01-27;2.8;Y
2022-01-28 06:00:01;2022-01-29 06:00:00;2022-01-28;0.0;Y
2022-01-29 06:00:01;2022-01-30 06:00:00;2022-01-29;20.8;Y
2022-01-30 06:00:01;2022-01-31 06:00:00;2022-01-30;0.7;Y
2022-01-31 06:00:01;2022-02-01 06:00:00;2022-01-31;0.0;Y
2022-02-01 06:00:01;2022-02-02 06:00:00;2022-02-01;0.0;Y
2022-02-02 06:00:01;2022-02-03 06:00:00;2022-02-02;0.9;Y
2022-02-03 06:00:01;2022-02-04 06:00:00;2022-02-03;0.5;Y
2022-02-04 06:00:01;2022-02-05 06:00:00;2022-02-04;6.7;Y
2022-02-05 06:00:01;2022-02-06 06:00:00;2022-02-05;1.0;Y
2022-02-06 06:00:01;2022-02-07 06:00:00;2022-02-06;0.0;Y
2022-02-07 06:00:01;2022-02-08 06:00:00;2022-02-07;0.7;Y
2022-02-08 06:00:01;2022-02-09 06:00:00;2022-02-08;1.7;Y
2022-02-09 06:00:01;2022-02-10 06:00:00;2022-02-09;0.0;Y
2022-02-10 06:00:01;2022-02-11 06:00:00;2022-02-10;0.0;Y
2022-02-11 06:00:01;2022-02-12 06:00:00;2022-02-11;0.0;Y
2022-02-12 06:00:01;2022-02-13 06:00:00;2022-02-12;0.0;Y
2022-02-13 06:00:01;2022-02-14 06:00:00;2022-02-13;0.8;Y
2022-02-14 06:00:01;2022-02-15 06:00:00;2022-02-14;4.1;Y
2022-02-15 06:00:01;2022-02-16 06:00:00;2022-02-15;0.4;Y
2022-02-16 06:00:01;2022-02-17 06:00:00;2022-02-16;3.7;Y
2022-02-17 06:00:01;2022-02-18 06:00:00;2022-02-17;0.0;Y
2022-02-18 06:00:01;2022-02-19 06:00:00;2022-02-18;3.8;Y
2022-02-19 06:00:01;2022-02-20 06:00:00;2022-02-19;1.2;Y
2022-02-20 06:00:01;2022-02-21 06:00:00;2022-02-20;2.1;Y
2022-02-21 06:00:01;2022-02-22 06:00:00;2022-02-21;7.1;Y
2022-02-22 06:00:01;2022-02-23 06:00:00;2022-02-22;0.0;Y
2022-02-23 06:00:01;2022-02-24 06:00:00;2022-02-23;0.0;Y
2022-02-24 06:00:01;2022-02-25 06:00:00;2022-02-24;11.3;Y
2022-02-25 06:00:01;2022-02-26 06:00:00;2022-02-25;0.0;Y
2022-02-26 06:00:01;2022-02-27 06:00:00;2022-02-26;0.0;Y
2022-02-27 06:00:01;2022-02-28 06:00:00;2022-02-27;0.0;Y
2022-02-28 06:00:01;2022-03-01 06:00:00;2022-02-28;0.0;Y
2022-03-01 06:00:01;2022-03-02 06:00:00;2022-03-01;0.0;Y
2022-03-02 06:00:01;2022-03-03 06:00:00;2022-03-02;0.0;Y
2022-03-03 06:00:01;2022-03-04 06:00:00;2022-03-03;0.0;Y
2022-03-04 06:00:01;2022-03-05 06:00:00;2022-03-04;0.0;Y
2022-03-05 06:00:01;2022-03-06 06:00:00;2022-03-05;0.0;Y
2022-03-06 06:00:01;2022-03-07 06:00:00;2022-03-06;0.0;Y
2022-03-07 06:00:01;2022-03-08 06:00:00;2022-03-07;0.0;Y
2022-03-08 06:00:01;2022-03-09 06:00:00;2022-03-08;0.0;Y
2022-03-09 06:00:01;2022-03-10 06:00:00;2022-03-09;0.0;Y
2022-03-10 06:00:01;2022-03-11 06:00:00;2022-03-10;0.0;Y
2022-03-11 06:00:01;2022-03-12 06:00:00;2022-03-11;0.0;Y
2022-03-12 06:00:01;2022-03-13 06:00:00;2022-03-12;0.0;Y
2022-03-13 06:00:01;2022-03-14 06:00:00;2022-03-13;0.0;Y
2022-03-14 06:00:01;2022-03-15 06:00:00;2022-03-14;0.0;Y
2022-03-15 06:00:01;2022-03-16 06:00:00;2022-03-15;0.0;Y
2022-03-16 06:00:01;2022-03-17 06:00:00;2022-03-16;0.0;Y
2022-03-17 06:00:01;2022-03-18 06:00:00;2022-03-17;0.0;Y
2022-03-18 06:00:01;2022-03-19 06:00:00;2022-03-18;0.0;Y
2022-03-19 06:00:01;2022-03-20 06:00:00;2022-03-19;0.0;Y
2022-03-20 06:00:01;2022-03-21 06:00:00;2022-03-20;0.0;Y
2022-03-21 06:00:01;2022-03-22 06:00:00;2022-03-21;0.0;Y
2022-03-22 06:00:01;2022-03-23 06:00:00;2022-03-22;0.0;Y
2022-03-23 06:00:01;2022-03-24 06:00:00;2022-03-23;0.0;Y
2022-03-24 06:00:01;2022-03-25 06:00:00;2022-03-24;0.0;Y
2022-03-25 06:00:01;2022-03-26 06:00:00;2022-03-25;0.0;Y
2022-03-26 06:00:01;2022-03-27 06:00:00;2022-03-26;0.0;Y
2022-03-27 06:00:01;2022-03-28 06:00:00;2022-03-27;0.0;Y
